movie_title,film_director,industry,available_langs,run_time_min,imdb_user_rating,worldwide_release,platform_post_date,days_to_piracy,avg_views_per_download,avg_downloads_per_day,downloads,total_views
Sodium Day,Riaz Solker,Hollywood / English,English,100,5.8,2022-04-22,2022-12-29,251,25.242424242424242,0.5258964143426295,132,3332
Destination Christmas (Single And Ready To Jingle),Wendy Ord,Hollywood / English,English,90,5.6,2022-12-11,2022-12-29,18,13.015536723163843,39.333333333333336,708,9215
Bluff Master,Gopi Ganesh,Tollywood,Telugu,138,6.3,2018-12-28,2022-12-29,1462,4.379544892406629,5.53077975376197,8086,35413
Murder at Koh E Fiza,Diwakar Naik,Bollywood / Indian,Hindi,100,3.7,2022-11-23,2022-12-29,36,6.115274949083503,136.38888888888889,4910,30026
Everything in the End,Mylissa Fitzsimmons,Hollywood / English,English,75,6.5,2022-12-12,2022-12-28,16,15.110584518167457,39.5625,633,9565
Spoiler Alert,Michael Showalter,Hollywood / English,English,112,6.8,2022-12-09,2022-12-28,19,16.270042194092827,12.473684210526315,237,3856
Yue jie (Deleted),Lai Huat Ng,Hollywood / English,English,90,5.0,2022-09-15,2022-12-28,104,10.692896174863389,8.798076923076923,915,9784
Double XL,Satram Ramani,Bollywood / Indian,Hindi,128,5.8,2022-11-04,2022-11-05,1,4.115191615968738,22519.0,22519,92670
Junglemahal the awakening,Arunava Chowdhury,Bollywood / Indian,Hindi,143,5.8,2022-12-27,2022-12-28,1,5.424727049054282,6503.0,6503,35277
DJ Wale Babu,Mandeep Benipal,Punjabi,Haryanvi,146,9.0,2022-12-16,2022-12-28,12,9.092007434944238,269.0,3228,29349
WWE Raw 2022-12-26,Not Assigned,Wrestling,English,100,5.8,2022-12-26,2022-12-27,1,2.8520964962665136,3482.0,3482,9931
Women Talking,Sarah Polley,Hollywood / English,English,104,7.7,2023-01-06,2022-12-27,-10,17.454545454545453,23.1,231,4032
The Ray (Run & Gun),Christopher Borrelli,Hollywood / English,"English,Hindi",96,5.1,2022-03-17,2022-01-18,-58,5.455301455301456,58.05172413793103,3367,18368
18 Pages,Palnati Surya Pratap,Tollywood,Hindi,135,8.4,2022-12-23,2022-12-27,4,5.184575974113523,1854.25,7417,38454
Roald Dahl's Matilda the Musical,Matthew Warchus,Hollywood / English,English,117,7.4,2022-11-25,2022-12-26,31,6.5832241153342075,73.83870967741936,2289,15069
Kanabadutaledu,Balaraju M.,Tollywood,Hindi,115,5.6,2021-08-19,2022-12-26,494,4.603889184869472,7.59919028340081,3754,17283
Batch 2013,Garry Khatrao,Punjabi,Punjabi,155,7.8,2022-09-09,2022-09-20,11,9.440958605664488,208.63636363636363,2295,21667
Glass Onion: A Knives Out Mystery,Rian Johnson,Hollywood / English,"English,Hindi",140,7.7,2022-12-23,2022-11-26,-27,4.265107418774473,349.962962962963,9449,40301
Saving Christmas Spirit,Wendy Faraone,Hollywood / English,English,90,5.9,2022-12-19,2022-12-24,5,14.293706293706293,114.4,572,8176
Mad Heidi,"Johannes Hartmann, Sandro Klopfstein",Hollywood / English,"English,Swiss German",92,6.1,2022-11-24,2022-12-24,30,8.576732673267326,121.2,3636,31185
WWE Smackdown 2022-12-23,Not Assigned,Wrestling,English,100,5.8,2022-12-23,2022-12-24,1,2.734156646083848,3077.0,3077,8413
With/In: Volume 2,"Griffin Dunne, Jonathan Cake, Bill Camp",Hollywood / English,English,100,6.3,2021-06-14,2022-12-23,557,11.775061124694377,0.7342908438061041,409,4816
